pitcher,batter,events,launch_speed,launch_angle,spray_angle
490063,570256,out,64.9,13,20.2362934321165
605255,622569,out,82.9,-21,38.9903245663302
642231,605141,out,74.8,29,-28.1533704076995
594835,578428,b1,73.3,16,-16.4167844910597
663558,669289,out,77.1,51,-32.1534839878192
657053,643265,b1,77.4,12,25.3640401198086
572193,489149,out,80,69,-49.3129332940484
594798,592663,out,97.8,-8,-18.0192114142974
502190,518792,out,82.9,-21,22.1984536972519
453268,493329,out,84.7,3,-22.8735115649286
543278,553882,out,90.5,38,-11.2397901579401
477132,592314,out,89.3,-6,-17.9876523213146
545333,543333,b1,103.4,10,5.24838708906297
543101,641658,b1,79.6,-1,29.105111408368
592170,518626,out,82.7,79,-54.9467525094425
645261,543768,out,101.7,12,-15.9218382068778
600917,592450,out,59.7,66,19.3270255476755
665001,592261,out,88.2,-9,41.0552023038512
650633,607043,out,43.9,-73,-60.0137295464927
543766,668227,out,62,11,0.158231521271462
594840,608385,out,99.5,-26,-3.44899671347147
471911,670623,out,95.1,44,-23.1101232033248
571510,543807,out,98.9,35,-12.1237920103474
622253,462101,b1,91.5,-17,-23.2000184814356
593372,570489,out,72.8,69,-38.9312829270655
663554,592192,b4,105.7,30,-22.8073951474114
543699,518934,out,93.2,18,-20.3732255584615
605540,455104,b4,102.6,26,-17.9801497531211
608723,641645,b1,100.4,13,7.2707095539583
607625,519317,out,77.8,32,10.0909167040334
605288,606157,out,69.9,-23,-0.615823435288112
656458,572041,out,74,35,2.60160598992281
665620,650489,b2,83.4,18,37.0102391103006
605164,670032,out,67.6,-22,20.5020829746896
571946,516770,b1,94.3,6,3.06505543050313
621385,429664,out,80,69,-62.5173536039003
519144,591720,out,46.2,33,-13.0408459982246
643615,519317,b2,105.1,20,-11.2951482009577
519043,657077,out,88.4,22,-14.5156539318682
502706,595978,out,94.4,-22,-5.50909727127057
548357,572816,b1,91.9,12,-1.74477644580842
592815,572821,out,81.4,30,-23.0023062819348
622065,445988,out,85.5,54,0.188162803065989
543883,476704,out,86.8,55,-48.2454986063111
621114,606988,b4,96,28,-42.2437128792479
647336,593871,out,73.9,-3,25.3104865361271
593334,593934,out,106.2,4,-42.1743529712929
622491,592178,out,80.4,2,-13.5055693191894
488846,572816,out,82.9,-21,29.4124143542962
606167,606115,b1,90.6,7,1.48285958742263
